,dt,sstlat,tid,clat,clon,psmin,rp,dp,zp,exppr
1596,0007-08-01 00:00:00,13.5,2258713,23.995395,57.0,1009.1822629244999,254447.05882352943,955.4048442906574,8033.8983050847455,1.1696470588235293
1597,0007-08-01 00:00:00,13.5,2258777,-8.219933,155.792689,,,,,
1598,0007-08-01 00:00:00,13.5,2258779,18.308028,296.25,1005.6754657114001,86211.76470588235,934.5328719723184,16000.0,1.0755294117647058
1599,0007-08-01 00:00:00,13.5,2258852,21.738677,302.457465,1007.0565379719,298020.76124567474,997.1487889273357,7525.423728813559,1.216705882352941
1600,0007-08-02 00:00:00,13.0,2259351,-8.40033,329.25,,,,,
1601,0007-08-02 00:00:00,13.0,2259353,23.67744,318.0,1009.4473025107999,254964.70588235295,788.4290657439446,9389.830508474577,1.0755294117647058
1602,0007-08-02 00:00:00,13.0,2259418,20.628174,297.75,1009.0185899126,229082.35294117648,788.4290657439446,10915.254237288136,1.0755294117647058
1603,0007-08-03 00:00:00,13.0,2259987,13.594286,252.207258,1008.7469044218,73270.58823529411,530.7404844290659,16000.0,1.0755294117647058
1604,0007-08-03 00:00:00,13.0,2260046,20.999875,269.792705,992.1456553861,294062.2837370242,2340.982698961938,10237.28813559322,1.5931764705882352
1605,0007-08-03 00:00:00,13.0,2260105,24.287786,278.792757,999.8979217327001,184716.95501730105,1853.702422145329,8372.881355932204,1.0755294117647058
1606,0007-08-04 00:00:00,13.0,2261751,15.599036,248.457237,1003.6868138412001,103111.41868512111,1275.7093425605535,6000.0,1.0755294117647058
1607,0007-08-05 00:00:00,13.0,2262321,-8.782428,92.792709,,,,,
1608,0007-08-06 00:00:00,13.0,2262825,-9.774026,30.0,,,,,
1609,0007-08-06 00:00:00,13.0,2262828,-7.670584,119.457313,,,,,
1610,0007-08-06 00:00:00,13.0,2262830,-8.639704,303.207322,,,,,
1611,0007-08-08 00:00:00,13.0,2263907,-6.837325,100.707298,,,,,
1612,0007-08-09 00:00:00,13.0,2264452,-19.091327,347.792661,,,,,
1613,0007-08-09 00:00:00,13.0,2264454,17.894743,315.0,998.4499664519999,99152.94117647059,1721.2456747404844,6677.966101694915,1.0755294117647058
