,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
0,0005-02-02 00:00:00,-12.0,307.89,1141845,-8.218343,122.450855749999,101809.44885343596,1192.2214532871972,,,228564.70588235295
1,0005-02-05 00:00:00,-13.5,307.9,1144359,-20.59595,110.38779326934142,101886.49189314544,572.484429065744,,,176525.95155709342
2,0005-02-06 00:00:00,-13.0,307.92,1171434,-15.906199,19.071486567882367,101796.86208290387,509.86851211072667,,,73270.58823529411
3,0005-02-09 00:00:00,-12.5,307.94,1181131,-15.743355,36.33767764256508,101565.30372392773,1317.453287197232,,,228564.70588235295
4,0005-02-10 00:00:00,-12.5,307.97,1183540,-14.801657,236.85622326366433,101555.67002452651,572.484429065744,,,176800.00000000003
5,0005-02-12 00:00:00,-12.0,308.0,1201302,-11.610645,221.4951882252111,101788.84710355556,788.4290657439446,,,112094.11764705881
6,0005-02-13 00:00:00,-12.0,308.0,1202519,-13.253181,156.72340434018201,101782.23650098195,697.7162629757787,,,86729.41176470589
7,0005-02-14 00:00:00,-12.0,308.0,1209907,-15.646192,239.4635356455343,101676.49321259135,614.2283737024222,,,163858.82352941178
8,0005-02-15 00:00:00,-12.0,308.03,1217084,-22.81044,336.30021101521555,102250.3576791325,551.612456747405,,,179175.08650519032
9,0005-02-16 00:00:00,-12.5,308.04,1220091,-15.957767,183.6980867385872,101794.47391365004,2494.311418685121,,,306729.4117647059
10,0005-02-17 00:00:00,-12.5,308.04,1224569,-14.039569,86.15754241399756,101924.02152473768,551.612456747405,,,125552.94117647059
11,0005-02-20 00:00:00,-12.0,308.04,1237823,-12.810437,10.954889972812555,101956.39423614218,468.1245674740485,,,73270.58823529411
12,0005-02-22 00:00:00,-12.0,308.1,1239511,-13.516633,227.09405593044457,101813.37766624626,530.7404844290659,,,228564.70588235295
13,0005-02-23 00:00:00,-12.5,308.07,1240354,-22.937248,275.07811668218335,101804.00940493557,809.3010380622837,,,216141.17647058822
14,0005-02-24 00:00:00,-12.5,308.03,1241104,-24.038351,332.87535368651544,102463.27178059253,572.484429065744,,,112094.11764705881
15,0005-02-26 00:00:00,-12.5,308.06,1242458,-15.893744,165.4101055423179,101972.60499156173,830.1730103806228,,,73270.58823529411
16,0005-03-04 00:00:00,-12.5,308.14,1251600,-14.042102,325.3575612908545,101710.3336400343,830.1730103806228,,,73270.58823529411
17,0005-03-06 00:00:00,-12.5,308.12,1255361,-17.911482,60.27623283472264,101529.09674328324,1150.477508650519,,,241505.8823529412
18,0005-03-07 00:00:00,-12.5,308.12,1258306,-20.798358,44.304496359388644,101829.6599613183,955.4048442906574,,,189741.17647058825
19,0005-03-08 00:00:00,-12.5,308.13,1259151,-13.579003,113.96370599038781,101690.19382148387,746.6851211072664,,,151435.29411764705
20,0005-03-10 00:00:00,-12.5,308.08,1263395,-13.69299,332.5387434478979,101805.2987464244,1554.2698961937717,,,152501.03806228374
21,0005-03-12 00:00:00,-12.0,308.08,1265671,-16.434523,27.59993228289893,101670.78384835187,635.1003460207614,,,164376.47058823527
22,0005-03-13 00:00:00,-12.0,308.13,1266450,-6.867425,194.98019643932216,101398.91114644929,593.3564013840831,,,268179.93079584773
23,0005-03-16 00:00:00,-12.0,308.06,1269322,-12.71651,295.4595046897964,101649.05813897328,593.3564013840831,,,163858.82352941178
24,0005-03-17 00:00:00,-12.0,308.06,1270054,-7.794715,334.25540762510474,101635.67149795762,1171.3494809688582,,,306729.4117647059
25,0005-03-18 00:00:00,-12.5,308.07,1285971,-14.546184,4.247157160151021,101603.47877996575,593.3564013840831,,,306729.4117647059
26,0005-03-19 00:00:00,-12.0,308.1,1286764,-19.067844,181.50236580912724,101851.74483869738,530.7404844290659,,,99670.58823529413
27,0005-03-21 00:00:00,-12.5,308.14,1298656,-10.18379,47.35813311547231,101385.84217001543,1338.325259515571,,,203474.04844290658
28,0005-03-23 00:00:00,-12.0,308.17,1321332,-14.334727,186.14631209003244,101847.83546761824,593.3564013840831,,,293788.2352941177
29,0005-03-24 00:00:00,-12.0,308.16,1323453,-14.042102,164.74526114528314,101861.70123558614,1338.325259515571,,,182341.86851211076
30,0005-03-26 00:00:00,-12.5,308.14,1329470,-6.84636,101.54514882416075,101564.9627332162,1296.5813148788927,,,303562.6297577855
31,0005-03-27 00:00:00,-12.0,308.14,1333215,-20.748848,1.2647894478538542,101990.10698585321,1108.7335640138408,,,164376.47058823527
32,0005-03-29 00:00:00,-12.0,308.07,1334817,-21.136869,307.4328839385375,101814.59482919011,2257.4948096885814,,,137976.4705882353
33,0005-03-31 00:00:00,-12.0,308.07,1342760,-17.052703,218.606489053626,101456.94928096846,767.5570934256054,,,241505.8823529412
34,0005-04-02 00:00:00,-12.0,308.06,1347797,-15.614292,246.40430601796584,101626.7879936701,509.86851211072667,,,189741.17647058825
35,0005-04-05 00:00:00,-12.0,307.99,1355134,-27.462197,94.83251561161129,102319.33325821202,593.3564013840831,,,189741.17647058825
36,0005-04-06 00:00:00,-12.0,307.98,1360281,-10.733369,113.92638125395148,101530.57979757666,426.38062283737025,,,203200.0
