nohup: ignoring input
/glade/u/apps/opt/pbstools/util/parse_opts: line 68: arg_dict[$arg_flag]: bad array subscript
Waiting on job launch; 2248108.casper-pbs with qsub arguments:
    qsub  -l select=1:ncpus=4:mem=128GB -A UCIS0005 -q casper@casper-pbs -l walltime=00:58:30

Working on 250415_unseed
Processing time 0007-01-01 00:00:00
Processing time 0007-01-01 06:00:00
Processing time 0007-01-01 12:00:00
Processing time 0007-01-01 18:00:00
Processing time 0007-01-02 00:00:00
Processing time 0007-01-02 06:00:00
Processing time 0007-01-02 12:00:00
Processing time 0007-01-02 18:00:00
Processing time 0007-01-03 00:00:00
Processing time 0007-01-03 06:00:00
Processing time 0007-01-03 12:00:00
Processing time 0007-01-03 18:00:00
Processing time 0007-01-04 00:00:00
Processing time 0007-01-04 06:00:00
Processing time 0007-01-04 12:00:00
Processing time 0007-01-04 18:00:00
Processing time 0007-01-05 00:00:00
Processing time 0007-01-05 06:00:00
Processing time 0007-01-05 12:00:00
Processing time 0007-01-05 18:00:00
Processing time 0007-01-06 00:00:00
Processing time 0007-01-06 06:00:00
Processing time 0007-01-06 12:00:00
Processing time 0007-01-06 18:00:00
Processing time 0007-01-07 00:00:00
Processing time 0007-01-07 06:00:00
Processing time 0007-01-07 12:00:00
Processing time 0007-01-07 18:00:00
Processing time 0007-01-08 00:00:00
Processing time 0007-01-08 06:00:00
Processing time 0007-01-08 12:00:00
Processing time 0007-01-08 18:00:00
Processing time 0007-01-09 00:00:00
Processing time 0007-01-09 06:00:00
Processing time 0007-01-09 12:00:00
Processing time 0007-01-09 18:00:00
Processing time 0007-02-01 00:00:00
Processing time 0007-02-01 06:00:00
Processing time 0007-02-01 12:00:00
Processing time 0007-02-01 18:00:00
Processing time 0007-02-02 00:00:00
Processing time 0007-02-02 06:00:00
Processing time 0007-02-02 12:00:00
Processing time 0007-02-02 18:00:00
Processing time 0007-02-03 00:00:00
Processing time 0007-02-03 06:00:00
Processing time 0007-02-03 12:00:00
Processing time 0007-02-03 18:00:00
Processing time 0007-02-04 00:00:00
Processing time 0007-02-04 06:00:00
Processing time 0007-02-04 12:00:00
Processing time 0007-02-04 18:00:00
Processing time 0007-02-05 00:00:00
Processing time 0007-02-05 06:00:00
Processing time 0007-02-05 12:00:00
Processing time 0007-02-05 18:00:00
Processing time 0007-02-06 00:00:00
Processing time 0007-02-06 06:00:00
Processing time 0007-02-06 12:00:00
Processing time 0007-02-06 18:00:00
Processing time 0007-02-07 00:00:00
Processing time 0007-02-07 06:00:00
Processing time 0007-02-07 12:00:00
Processing time 0007-02-07 18:00:00
Processing time 0007-02-08 00:00:00
Processing time 0007-02-08 06:00:00
Processing time 0007-02-08 12:00:00
Processing time 0007-02-08 18:00:00
Processing time 0007-02-09 00:00:00
Processing time 0007-02-09 06:00:00
Processing time 0007-02-09 12:00:00
Processing time 0007-02-09 18:00:00
Processing time 0007-03-01 00:00:00
Processing time 0007-03-01 06:00:00
Processing time 0007-03-01 12:00:00
Processing time 0007-03-01 18:00:00
Processing time 0007-03-02 00:00:00
Processing time 0007-03-02 06:00:00
Processing time 0007-03-02 12:00:00
Processing time 0007-03-02 18:00:00
Processing time 0007-03-03 00:00:00
Processing time 0007-03-03 06:00:00
Processing time 0007-03-03 12:00:00
Processing time 0007-03-03 18:00:00
Processing time 0007-03-04 00:00:00
Processing time 0007-03-04 06:00:00
Processing time 0007-03-04 12:00:00
Processing time 0007-03-04 18:00:00
Processing time 0007-03-05 00:00:00
Processing time 0007-03-05 06:00:00
